8,4194304,33554432,885925597.4
16,2097152,33554432,903823084.2
32,1048576,33554432,1054756212
64,524288,33554432,981482471.7
128,262144,33554432,1127880067
256,131072,33554432,1263225675
512,65536,33554432,1309441249
1024,32768,33554432,1234186005
2048,16384,33554432,1222940574
4096,8192,33554432,1209168721
8192,4096,33554432,1237029751
16384,2048,33554432,1260260357
32768,1024,33554432,1147160068
65536,512,33554432,1222940574
131072,256,33554432,1248537005
262144,128,33554432,1214640072
524288,64,33554432,1193046471
1048576,32,33554432,1172207231
2097152,16,33554432,1187767504
4194304,8,33554432,1234186005
8388608,4,33554432,1225732676
16777216,2,33554432,1332185886
33554432,1,33554432,1120816100
