16,0,0,3.03E-06,2.12E-05,,1.93E-06,1.30E-05
32,0,0,2.94E-06,1.23E-05,,3.13E-06,1.27E-05
64,0,0,6.91E-06,1.63E-05,,6.78E-06,1.61E-05
128,0,0,1.50E-05,2.53E-05,,1.47E-05,2.47E-05
256,0,0,3.25E-05,4.33E-05,,3.07E-05,4.11E-05
512,0,0,6.31E-05,7.53E-05,,6.23E-05,7.40E-05
1024,0,0,0.000132814,0.000147062,,1.31E-04,1.44E-04
2048,0,0,0.000292592,0.000311681,,2.82E-04,3.00E-04
4096,0,0,0.00061078,0.00063782,,6.08E-04,6.34E-04
8192,0,0,0.001364363,0.001407534,,1.29E-03,1.34E-03
16384,0,0,0.002540512,0.002619462,,2.62E-03,2.70E-03
32768,0,0,0.005462108,0.005610914,,5.47E-03,5.63E-03
65536,0,0,0.011193569,0.011520094,,1.12E-02,1.15E-02
131072,0,0,0.023015378,0.023628795,,2.32E-02,2.38E-02
16,0,1,1.61E-06,1.08E-05,,,
32,0,1,3.19E-06,1.28E-05,,,
64,0,1,6.65E-06,1.54E-05,,,
128,0,1,1.40E-05,2.35E-05,,,
256,0,1,3.14E-05,4.20E-05,,,
512,0,1,6.26E-05,7.47E-05,,,
1024,0,1,0.000142645,0.000156223,,,
2048,0,1,0.000278722,0.000297533,,,
4096,0,1,0.000579822,0.000605708,,,
8192,0,1,0.001235606,0.001279819,,,
16384,0,1,0.00272201,0.002803438,,,
32768,0,1,0.005641965,0.005847374,,,
65536,0,1,0.011160833,0.011586754,,,
131072,0,1,0.023555159,0.02417739,,,
16,0,2,1.69E-06,1.13E-05,,,
32,0,2,3.18E-06,1.29E-05,,,
64,0,2,7.29E-06,1.73E-05,,,
128,0,2,1.52E-05,2.53E-05,,,
256,0,2,3.14E-05,4.21E-05,,,
512,0,2,7.00E-05,8.22E-05,,,
1024,0,2,0.000125171,0.000138573,,,
2048,0,2,0.000262063,0.000279016,,,
4096,0,2,0.000630731,0.000657977,,,
8192,0,2,0.001335604,0.001379945,,,
16384,0,2,0.002575898,0.002658622,,,
32768,0,2,0.00531016,0.005473493,,,
65536,0,2,0.011443361,0.011774839,,,
131072,0,2,0.022827094,0.023477024,,,
16,0,3,1.72E-06,1.09E-05,,,
32,0,3,3.26E-06,1.31E-05,,,
64,0,3,6.55E-06,1.60E-05,,,
128,0,3,1.52E-05,2.56E-05,,,
256,0,3,2.98E-05,4.00E-05,,,
512,0,3,5.76E-05,6.86E-05,,,
1024,0,3,0.000118711,0.000131591,,,
2048,0,3,0.000292339,0.000308809,,,
4096,0,3,0.00059292,0.000617724,,,
8192,0,3,0.001318243,0.001362664,,,
16384,0,3,0.002603099,0.002686577,,,
32768,0,3,0.005368765,0.005513364,,,
65536,0,3,0.011019272,0.011324232,,,
131072,0,3,0.023631591,0.024229164,,,
16,0,4,1.59E-06,1.11E-05,,,
32,0,4,3.09E-06,1.25E-05,,,
64,0,4,6.49E-06,1.57E-05,,,
128,0,4,1.43E-05,2.40E-05,,,
256,0,4,2.86E-05,3.81E-05,,,
512,0,4,5.81E-05,6.92E-05,,,
1024,0,4,0.000134575,0.000148865,,,
2048,0,4,0.000285433,0.000304121,,,
4096,0,4,0.000625552,0.000652841,,,
8192,0,4,0.001204495,0.001246696,,,
16384,0,4,0.002660583,0.00274414,,,
32768,0,4,0.005550264,0.005713962,,,
65536,0,4,0.011067932,0.01139245,,,
131072,0,4,0.023055293,0.023690241,,,
